"interaction_id","tweet_id","senderuser_id","receiveruser_id","tweet_text","cyberbullying_type","interaction_timestamp"
24362,35353,1563,175,"Probably his high school bullies home ....","age","2023-02-20 14:36:00.086458"
24531,2614,2798,1574,"@comattwow it's always been my stance ;)","not_cyberbullying","2022-08-12 19:45:40.659463"
24579,8397,2064,1699,"I hope to god Kat cant sleep at night #MKR","gender","2023-04-23 00:06:41.012855"
24668,53831,2670,256,"@__enimey__ http://t.co/Jb1NzwOy3r","none","2022-07-31 21:29:23.391434"
24708,58525,3336,1764,"@Mjolna ... i hate shadowrun. :P","none","2023-03-01 03:53:25.782687"
24967,52815,1885,910,"@karengeier Go on...","sexism","2023-05-25 15:57:04.614691"
25157,45432,2246,1159,"fuck are you saying dumb nigger","ethnicity","2022-11-20 09:18:58.655454"
25230,1785,2923,534,"ahh sofro bulling da camera fotografica.","not_cyberbullying","2022-07-16 02:51:48.634401"
30418,14951,1494,3288,"@justcurious5432 @JustLaurenB Feminism.","gender","2022-06-12 04:06:35.738684"
25710,49459,2010,3652,"Is #bonebroth trending yet? #mkr","none","2023-03-22 10:11:02.287839"
25945,41183,220,1455,"@freebsdglrI awww. someone's mad. &lt;3","ethnicity","2022-06-13 21:45:51.874925"
26039,55557,666,1647,"@Superjutah Done.","none","2022-12-26 01:27:22.442156"
26202,25610,1734,2105,"@prpltnkr @Rosie not sure","other_cyberbullying","2022-10-07 03:46:36.846614"
26464,30394,1948,2023,"Henlo birb.","other_cyberbullying","2023-04-27 19:24:56.089957"
26766,16264,2929,2809,"Except 1) He isn’t Muslim and 2) you’re an idiot","religion","2022-11-18 06:15:32.879244"
26873,8181,908,1586,"good!","gender","2023-03-11 20:32:03.672627"
27136,1986,1208,3160,"Meatballs in the morning would be the problem #mkr","not_cyberbullying","2022-11-17 18:55:10.478881"
27234,31304,546,1333,"you're a bit wet....#MKR","other_cyberbullying","2022-12-20 13:28:40.519511"
27413,54114,2010,2558,"SOON ™","none","2022-12-11 02:45:59.78841"
27740,49291,3856,3754,"Annie is coated in + 1000 sunscreen. #mkr","none","2022-10-13 17:38:28.825281"
27829,53928,2108,2690,"nights MKR ppl :D #mkr #MKR2015","none","2022-07-02 04:00:13.22812"
28202,58627,3953,264,"FINALLY HOME.","none","2022-08-04 16:25:36.845506"
28330,5855,82,762,"#mkr what is this shit?","not_cyberbullying","2022-07-12 08:04:22.228905"
